id,status,category,primary_question,working_title,slug,primary_language,priority,search_intent,related_apps,primary_keyword,secondary_keywords,evergreen,source_type,canonical_path,published_url,scheduled_at,published_at,updated_at,review_required,notes
TOPIC-0001,published,reading,How can I read a very large TXT file without lag?,How to Read Large TXT Files Without Lag,read-large-txt-files-without-lag,en,high,solve,VaultXT,large TXT file reader,huge text file|TXT viewer|large file performance|virtual rendering,true,product_documentation,generated/markdown/en/reading/read-large-txt-files-without-lag.md,https://onnellab.github.io/blog/en/read-large-txt-files-without-lag/,2026-07-11T00:00:00+09:00,2026-07-11T00:00:00+09:00,2026-07-11T00:00:00+09:00,true,Published first public article. Explains large-file reading workflow before mentioning VaultXT and includes workflow diagram asset.
TOPIC-0005,published,reading,대용량 TXT 파일을 지연 없이 읽으려면 어떻게 해야 하나요?,대용량 TXT 파일을 지연 없이 읽는 방법,read-large-txt-files-without-lag,ko,high,solve,VaultXT,대용량 TXT 파일 리더,대용량 텍스트 파일|TXT 뷰어|대용량 파일 성능|가상 렌더링,true,product_documentation,generated/markdown/ko/reading/read-large-txt-files-without-lag.md,https://onnellab.github.io/blog/ko/read-large-txt-files-without-lag/,2026-07-11T00:00:00+09:00,2026-07-11T00:00:00+09:00,2026-07-11T00:00:00+09:00,true,Published Korean counterpart for TOPIC-0001. Must be published together with the English article.
TOPIC-0002,archived,reading,Why do TXT files show unreadable characters?,Why TXT Files Show Unreadable Characters,txt-file-unreadable-characters,en,high,troubleshoot,VaultXT,TXT unreadable characters,text encoding|UTF-8|broken characters|plain text,true,product_documentation,generated/markdown/en/reading/txt-file-unreadable-characters.md,,,,,true,Archived after removal from today's publishing queue at user request; replaced with a different app topic.
TOPIC-0003,draft,reading,Should I use TXT or EPUB for long reading?,TXT vs EPUB for Long Reading,txt-vs-epub-for-long-reading,en,normal,compare,VaultXT,TXT vs EPUB,long reading|plain text|EPUB conversion|reading workflow,true,editorial,generated/markdown/en/reading/txt-vs-epub-for-long-reading.md,,,,,true,Follow-up candidate for readers deciding whether to keep TXT or convert to EPUB.
TOPIC-0004,draft,reading,What makes a large text file slow to open?,What Makes Large Text Files Slow to Open,large-text-file-slow-to-open,en,normal,learn,VaultXT,large text file slow to open,large file performance|line length|memory usage|virtual rendering,true,product_documentation,generated/markdown/en/reading/large-text-file-slow-to-open.md,,,,,true,Follow-up candidate for performance details after the first large TXT file article.
TOPIC-0006,archived,reading,TXT 파일의 글자가 깨져 보이는 이유는 무엇인가요?,TXT 파일 글자가 깨져 보이는 이유,txt-file-unreadable-characters,ko,high,troubleshoot,VaultXT,TXT 글자 깨짐,텍스트 인코딩|UTF-8|깨진 문자|일반 텍스트,true,product_documentation,generated/markdown/ko/reading/txt-file-unreadable-characters.md,,,,,true,Archived after removal from today's publishing queue at user request; replaced with a different app topic.
TOPIC-0007,published,media,How can I convert local media files without sending them to a server?,How to Convert Local Media Files Privately,convert-local-media-files-privately,en,high,solve,Quivra,local media converter,private file conversion|offline media conversion|file format workflow|Quivra,true,product_documentation,generated/markdown/en/media/convert-local-media-files-privately.md,https://onnellab.github.io/blog/en/convert-local-media-files-privately/,2026-07-14T09:00:00+09:00,2026-07-14T09:00:00+09:00,2026-07-14T09:00:00+09:00,true,Diversify content rotation beyond VaultXT. Explain local conversion workflow before mentioning Quivra.
TOPIC-0008,published,music,How can I clean up MP3 metadata before adding songs to a library?,How to Clean Up MP3 Metadata Before Organizing Music,clean-up-mp3-metadata-before-organizing-music,en,high,workflow,TagWeaver,MP3 metadata editor,ID3 tags|music library organization|album artwork|TagWeaver,true,product_documentation,generated/markdown/en/music/clean-up-mp3-metadata-before-organizing-music.md,https://onnellab.github.io/blog/en/clean-up-mp3-metadata-before-organizing-music/,2026-07-20T14:56:51+09:00,2026-07-20T14:56:51+09:00,2026-07-20T14:56:51+09:00,true,Diversify content rotation beyond VaultXT. Explain tag cleanup workflow before mentioning TagWeaver.
TOPIC-0009,draft,media,How can I trim an audio recording without turning it into a full editing project?,How to Trim Audio Recordings Without a Full Editor,trim-audio-recordings-without-full-editor,en,normal,solve,Segra,audio trimming app,audio segments|recording cleanup|simple audio workflow|Segra,true,product_documentation,generated/markdown/en/media/trim-audio-recordings-without-full-editor.md,,,,,true,"Diversify content rotation beyond VaultXT. Position Segra as focused trimming and segment organization, not a full production suite."
TOPIC-0010,published,productivity,How can I reuse copied text snippets on iPhone without losing track of them?,How to Reuse Copied Text Snippets on iPhone,reuse-copied-text-snippets-iphone,en,normal,workflow,ClipNest,clipboard snippet manager,saved text snippets|iPhone clipboard workflow|local clipboard utility|ClipNest,true,product_documentation,generated/markdown/en/productivity/reuse-copied-text-snippets-iphone.md,https://onnellab.github.io/blog/en/reuse-copied-text-snippets-iphone/,2026-07-24T08:24:05+09:00,2026-07-24T08:24:05+09:00,2026-07-24T08:24:05+09:00,true,Diversify content rotation beyond VaultXT. Avoid claiming background clipboard monitoring; focus on intentional saved snippets.
